บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1C10200,1C10208,,,,19303,,,"7,395.00",,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1C10300,1C10308,,,,19303,,,783.75,,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1D00004,1D00004,,,,19303,,,"15,396.50",,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1D10200,1D10202,,,,19303,,,"3,830.00",,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1D10200,1D10203,,,,19303,,,"2,469.00",,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1D10200,1D10211,,,,19303,,,"14,346.00",,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1D10200,1D10212,,,,19303,,,570,,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1D10400,1D10405,,,,19303,,,"1,450.00",,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1D10400,1D10411,,,,19303,,,"32,288.00",,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1D10600,1D10604,,,,19303,,,"1,977.00",,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
29.04.2024,ต-ค่ารักษาพยาบาล-พนักงาน,5,,HHRM0604,51602104,,8800000057,09.05.2024,09.05.2024,HR,1D10600,1D10605,,,,19303,,,"6,070.50",,5401-ค่ารักษาพยาบาล,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
