บันทึกแล้ว,Stat,    งวด,Unnamed: 3,ผู้ใช้,G/L,กลับรายการ,เลขเอกสาร,Pstng Date,ว/ทเอกสาร,ประเภท,ศ.เงินทุน,ศ.ต้นทุน,Bus. Process,ผลิตภัณฑ์/,Carrier/Op,เซกเมนต์,ศูนย์กำไร,BP,    Amt in loc.cur.,Tx,ข้อความ,ส/ท ซ่อม,SNoซ,วัสดุ,เงื่อนไข1,เงื่อนไข2
08.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,,3300008706,08.05.2024,05.04.2024,KR,1J50200,1J50206,,202030003,,20203,,0,"9,239.00",,24-26 เม.ย.67 ปท.มาเลฯ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
08.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,,3300008709,08.05.2024,05.04.2024,KR,1J50200,1J50200,,202030003,,20203,,0,"9,239.00",,24-26 เม.ย.67 ปท.มาเลฯ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
08.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,,3300008710,08.05.2024,05.04.2024,KR,1J50200,1J50206,,202030003,,20203,,0,"9,239.00",,24-26 เม.ย.67 ปท.มาเลฯ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
08.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,3900002027,3300008714,08.05.2024,05.04.2024,KR,1J50200,1J50206,,202030003,,20203,,0,720,,24-26 เม.ย.67 ปท.มาเลฯ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
08.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,3900002028,3300008716,08.05.2024,05.04.2024,KR,1J50200,1J50206,,202030003,,20203,,0,720,,24-26 เม.ย.67 ปท.มาเลฯ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
08.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,3900002026,3300008717,08.05.2024,05.04.2024,KR,1J50200,1J50200,,202030003,,20203,,0,720,,24-26 เม.ย.67 ปท.มาเลฯ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
08.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,,3300008737,08.05.2024,27.04.2024,KR,1J50200,1J50200,,202010001,,20201,,0,"18,900.00",,7-9 พ.ค.67 ปท.ฮ่องกง,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
08.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,,3300008738,08.05.2024,27.04.2024,KR,1J50200,1J50211,,202010001,,20201,,0,"18,900.00",,7-9 พ.ค.67 ปท.ฮ่องกง,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
08.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,,3300008740,08.05.2024,27.04.2024,KR,1J50200,1J50211,,202010001,,20201,,0,"18,900.00",,7-9 พ.ค.67 ปท.ฮ่องกง,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
17.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECRMAD01,53604101,,3300009531,17.05.2024,15.05.2024,KR,1J50200,1J50209,,202030003,,20203,,0,950,VX, 9 พ.ค.67 จ.สงขลา,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
17.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECRMAD01,53604101,,3300009533,17.05.2024,15.05.2024,KR,1J50200,1J50209,,202030003,,20203,,0,950,VX, 9 พ.ค.67 จ.สงขลา,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
17.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECRMAD01,53604101,,3320006012,17.05.2024,07.05.2024,KQ,1J50200,1J50209,,202030003,,20203,,0,"7,018.00",VX,ค่าตั๋วเครื่องบิน,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
17.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,ECRMAD01,53604101,,3320006013,17.05.2024,07.05.2024,KQ,1J50200,1J50209,,202030003,,20203,,0,"7,018.00",VX, 9 พ.ค.67 จ.สงขลา,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
09.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,3300008717,3900002026,08.05.2024,05.04.2024,KZ,1J50200,1J50200,,202030003,,20203,,0,-720,,24-26 เม.ย.67 ปท.มาเลฯ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
09.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,3300008714,3900002027,08.05.2024,05.04.2024,KZ,1J50200,1J50206,,202030003,,20203,,0,-720,,24-26 เม.ย.67 ปท.มาเลฯ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
09.05.2024,ข-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ต่างประเทศ,5,,ECRMAD01,53604102,3300008716,3900002028,08.05.2024,05.04.2024,KZ,1J50200,1J50206,,202030003,,20203,,0,-720,,24-26 เม.ย.67 ปท.มาเลฯ,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
07.05.2024,ต-ค่าใช้จ่ายเดินทางเพื่อปฏิบัติงาน-ในประเทศ,5,,EFAD0402,51604101,6410008077,6410008096,01.05.2024,30.04.2024,SC,1P10400,1P10404,,103020107,,10302,,,"-8,900.00",,ปมก.ค้างจ่าย เม.ย.67,,,,บันทึกรหัสกระบวนการทางธุรกิจ,
